Country,Total PPP (US$MM),Agricultural (%),Industrial (%),Service (%),Agricultural (US$MM),Industrial (US$MM),Service (US$MM),Country Code
Tajikistan,23210000,7.9,40.5,51.6,1833590,9400050,11976360,762
Armenia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,051
Mauritius,23210000,7.9,40.5,51.6,1833590,9400050,11976360,480
Guinea,23210000,7.9,40.5,51.6,1833590,9400050,11976360,324
Namibia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,516
Jamaica,23210000,7.9,40.5,51.6,1833590,9400050,11976360,388
Benin,23210000,7.9,40.5,51.6,1833590,9400050,11976360,204
Rwanda,23210000,7.9,40.5,51.6,1833590,9400050,11976360,646
"Moldova, Republic of",23210000,7.9,40.5,51.6,1833590,9400050,11976360,498
Kyrgyzstan,23210000,7.9,40.5,51.6,1833590,9400050,11976360,417
Malawi,23210000,7.9,40.5,51.6,1833590,9400050,11976360,454
Niger,23210000,7.9,40.5,51.6,1833590,9400050,11976360,562
Somalia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,706
Haiti,23210000,7.9,40.5,51.6,1833590,9400050,11976360,332
Kosovo,23210000,7.9,40.5,51.6,1833590,9400050,11976360,
Malta,23210000,7.9,40.5,51.6,1833590,9400050,11976360,470
Iceland,23210000,7.9,40.5,51.6,1833590,9400050,11976360,352
Mauritania,23210000,7.9,40.5,51.6,1833590,9400050,11976360,478
Togo,23210000,7.9,40.5,51.6,1833590,9400050,11976360,768
Bahamas,23210000,7.9,40.5,51.6,1833590,9400050,11976360,044
Eswatini,23210000,7.9,40.5,51.6,1833590,9400050,11976360,748
Sierra Leone,23210000,7.9,40.5,51.6,1833590,9400050,11976360,694
New Caledonia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,540
Montenegro,23210000,7.9,40.5,51.6,1833590,9400050,11976360,499
Eritrea,23210000,7.9,40.5,51.6,1833590,9400050,11976360,232
Suriname,23210000,7.9,40.5,51.6,1833590,9400050,11976360,740
Fiji,23210000,7.9,40.5,51.6,1833590,9400050,11976360,242
Burundi,23210000,7.9,40.5,51.6,1833590,9400050,11976360,108
Monaco,23210000,7.9,40.5,51.6,1833590,9400050,11976360,492
Timor-Leste,23210000,7.9,40.5,51.6,1833590,9400050,11976360,626
Bhutan,23210000,7.9,40.5,51.6,1833590,9400050,11976360,064
Maldives,23210000,7.9,40.5,51.6,1833590,9400050,11976360,462
Isle of Man,23210000,7.9,40.5,51.6,1833590,9400050,11976360,833
Lesotho,23210000,7.9,40.5,51.6,1833590,9400050,11976360,426
Guyana,23210000,7.9,40.5,51.6,1833590,9400050,11976360,328
Bermuda,23210000,7.9,40.5,51.6,1833590,9400050,11976360,060
Liberia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,430
Jersey,23210000,7.9,40.5,51.6,1833590,9400050,11976360,832
Gambia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,270
French Polynesia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,258
Barbados,23210000,7.9,40.5,51.6,1833590,9400050,11976360,052
Liechtenstein,23210000,7.9,40.5,51.6,1833590,9400050,11976360,438
Aruba,23210000,7.9,40.5,51.6,1833590,9400050,11976360,533
Cabo Verde,23210000,7.9,40.5,51.6,1833590,9400050,11976360,132
Djibouti,23210000,7.9,40.5,51.6,1833590,9400050,11976360,262
Guernsey,23210000,7.9,40.5,51.6,1833590,9400050,11976360,831
Central African Republic,23210000,7.9,40.5,51.6,1833590,9400050,11976360,140
Andorra,23210000,7.9,40.5,51.6,1833590,9400050,11976360,020
Belize,23210000,7.9,40.5,51.6,1833590,9400050,11976360,084
Guinea-Bissau,23210000,7.9,40.5,51.6,1833590,9400050,11976360,624
Curaçao,23210000,7.9,40.5,51.6,1833590,9400050,11976360,531
Seychelles,23210000,7.9,40.5,51.6,1833590,9400050,11976360,690
Saint Lucia,23210000,7.9,40.5,51.6,1833590,9400050,11976360,662
Cayman Islands,23210000,7.9,40.5,51.6,1833590,9400050,11976360,136
Greenland,23210000,7.9,40.5,51.6,1833590,9400050,11976360,304
Antigua and Barbuda,23210000,7.9,40.5,51.6,1833590,9400050,11976360,028
San Marino,23210000,7.9,40.5,51.6,1833590,9400050,11976360,674
Gibraltar,23210000,7.9,40.5,51.6,1833590,9400050,11976360,292
Faroe Islands,23210000,7.9,40.5,51.6,1833590,9400050,11976360,234
Grenada,23210000,7.9,40.5,51.6,1833590,9400050,11976360,308
Saint Kitts and Nevis,23210000,7.9,40.5,51.6,1833590,9400050,11976360,659
Solomon Islands,23210000,7.9,40.5,51.6,1833590,9400050,11976360,090
Comoros,23210000,7.9,40.5,51.6,1833590,9400050,11976360,174
Saint Vincent and the Grenadines,23210000,7.9,40.5,51.6,1833590,9400050,11976360,670
Northern Mariana Islands,23210000,7.9,40.5,51.6,1833590,9400050,11976360,580
Samoa,23210000,7.9,40.5,51.6,1833590,9400050,11976360,882
Dominica,23210000,7.9,40.5,51.6,1833590,9400050,11976360,212
Vanuatu,23210000,7.9,40.5,51.6,1833590,9400050,11976360,548
Sao Tome and Principe,23210000,7.9,40.5,51.6,1833590,9400050,11976360,678
American Samoa,23210000,7.9,40.5,51.6,1833590,9400050,11976360,016
Turks and Caicos Islands,23210000,7.9,40.5,51.6,1833590,9400050,11976360,796
Tonga,23210000,7.9,40.5,51.6,1833590,9400050,11976360,776
Saint Martin (French part),23210000,7.9,40.5,51.6,1833590,9400050,11976360,663
"Virgin Islands, British",23210000,7.9,40.5,51.6,1833590,9400050,11976360,
Sint Maarten (Dutch part),23210000,7.9,40.5,51.6,1833590,9400050,11976360,534
"Micronesia, Federated States of",23210000,7.9,40.5,51.6,1833590,9400050,11976360,583
Cook Islands,23210000,7.9,40.5,51.6,1833590,9400050,11976360,184
Palau,23210000,7.9,40.5,51.6,1833590,9400050,11976360,585
Saint Pierre and Miquelon,23210000,7.9,40.5,51.6,1833590,9400050,11976360,666
Kiribati,23210000,7.9,40.5,51.6,1833590,9400050,11976360,296
Marshall Islands,23210000,7.9,40.5,51.6,1833590,9400050,11976360,584
Anguilla,23210000,7.9,40.5,51.6,1833590,9400050,11976360,660
Montserrat,23210000,7.9,40.5,51.6,1833590,9400050,11976360,500
Nauru,23210000,7.9,40.5,51.6,1833590,9400050,11976360,520
Tuvalu,23210000,7.9,40.5,51.6,1833590,9400050,11976360,798
Niue,23210000,7.9,40.5,51.6,1833590,9400050,11976360,570
