Country/Economy,Total GDP (US$MM),Agricultural,Industrial,Service,Agricultural (US$MM),Industrial (US$MM),Service (US$MM),country-code
Seychelles,2750,2.5,13.8,83.7,69,380,2302,690
Saint Lucia,2542,2.9,14.2,82.8,74,361,2105,662
Cayman Islands,2507,0.3,7.4,92.3,8,186,2314,136
Greenland,2413,15.9,10.1,73.9,384,244,1783,304
Antigua and Barbuda,2398,1.8,20.8,77.3,43,499,1854,028
San Marino,2064,0.1,39.2,60.7,2,809,1253,674
Gibraltar,2044,0.0,0.0,100.0,0,0,2044,292
Faroe Islands,2001,18.0,39.0,43.0,360,780,860,234
Grenada,1634,6.8,15.5,77.7,111,253,1270,308
Saint Kitts and Nevis,1550,1.1,30.0,68.9,17,465,1068,659
Solomon Islands,1330,34.3,7.6,58.1,456,101,773,090
Comoros,1319,47.7,11.8,40.5,629,156,534,174
Saint Vincent and the Grenadines,1265,7.1,17.4,75.5,90,220,955,670
Northern Mariana Islands,1242,1.7,58.1,40.2,21,722,499,580
Samoa,1137,10.4,23.6,66.0,118,268,750,882
Dominica,783,22.3,12.6,65.1,175,99,510,212
Vanuatu,772,27.3,11.8,60.8,211,91,469,548
Sao Tome and Principe,686,11.8,14.8,73.4,81,102,504,678
American Samoa,658,27.4,12.4,60.2,180,82,396,016
Turks and Caicos Islands,632,0.5,8.9,90.6,3,56,573,796
Tonga,591,19.9,20.3,59.8,118,120,353,776
Saint Martin (French part),562,1.0,15.0,84.0,6,84,472,663
Virgin Islands, British,500,0.2,6.8,93.1,1,34,466,092
Sint Maarten (Dutch part),366,0.4,18.3,81.3,1,67,298,534
Micronesia, Federated States of,348,26.3,18.9,54.8,92,66,191,583
Cook Islands,300,5.1,12.7,82.1,15,38,246,184
Palau,264,3.0,19.0,78.0,8,50,206,585
Saint Pierre and Miquelon,261,2.0,15.0,83.0,5,39,217,666
Kiribati,227,23.0,7.0,70.0,52,16,159,296
Marshall Islands,196,4.4,9.9,85.7,9,19,168,584
Anguilla,175,3.0,10.5,86.4,5,18,151,660
Montserrat,167,1.9,7.8,90.3,3,13,151,500
Nauru,160,6.1,33.0,60.8,10,53,97,520
Tuvalu,42,24.5,5.6,70.0,10,2,29,798
Niue,10,23.5,26.9,49.5,2,3,5,570
